dataset,condition,reference,adaptive_aurc_mean,adaptive_aurc_std,reference_aurc_mean,aurc_reduction_mean,top10_accuracy_gain_mean,better_seed_count,equal_seed_count
PADERBORN,snr_6,confidence,0.004879864728687767,0.002105917234588805,0.004879864728687767,0.0,0.0,0,3
PADERBORN,snr_6,negative_entropy,0.004879864728687767,0.002105917234588805,0.004830404140828633,-4.94605878591332e-05,0.0,1,0
PADERBORN,snr_6,probability_margin,0.004879864728687767,0.002105917234588805,0.004899913200422533,2.0048471734766787e-05,0.0,2,0
PADERBORN,snr_6,learned_evidence,0.004879864728687767,0.002105917234588805,0.0046775922045322665,-0.00020227252415549999,0.0,1,0
PADERBORN,snr_0,confidence,0.013318922308867333,0.0031088663356179415,0.013318922308867333,0.0,0.0,0,3
PADERBORN,snr_0,negative_entropy,0.013318922308867333,0.0031088663356179415,0.013240645240966598,-7.827706790073351e-05,0.0,0,0
PADERBORN,snr_0,probability_margin,0.013318922308867333,0.0031088663356179415,0.013464045063953366,0.00014512275508603346,0.0,3,0
PADERBORN,snr_0,learned_evidence,0.013318922308867333,0.0031088663356179415,0.012001089124340168,-0.0013178331845271664,0.0,0,0
PADERBORN,snr_-6,confidence,0.20857413247088852,0.04295713648314929,0.24668627289690445,0.03811214042601594,0.07500000000000011,3,0
PADERBORN,snr_-6,negative_entropy,0.20857413247088852,0.04295713648314929,0.24062688533806575,0.03205275286717727,0.06666666666666672,2,0
PADERBORN,snr_-6,probability_margin,0.20857413247088852,0.04295713648314929,0.2522121750618971,0.0436380425910086,0.08611111111111114,3,0
PADERBORN,snr_-6,learned_evidence,0.20857413247088852,0.04295713648314929,0.20857413247088852,0.0,0.0,0,3
PADERBORN,mixed_snr,confidence,0.024185304793364264,0.007896530695311587,0.024185304793364264,0.0,0.0,0,3
PADERBORN,mixed_snr,negative_entropy,0.024185304793364264,0.007896530695311587,0.023704577178892867,-0.00048072761447139875,0.0,0,0
PADERBORN,mixed_snr,probability_margin,0.024185304793364264,0.007896530695311587,0.02464080270451083,0.00045549791114656707,0.0,3,0
PADERBORN,mixed_snr,learned_evidence,0.024185304793364264,0.007896530695311587,0.021113501303545067,-0.0030718034898191988,0.0,0,0
PADERBORN,colored_-6,confidence,0.39099344715264817,0.04200886052384734,0.38321851312148764,-0.0077749340311605115,-0.0666666666666667,2,0
PADERBORN,colored_-6,negative_entropy,0.39099344715264817,0.04200886052384734,0.3831227084796199,-0.007870738673028269,-0.06944444444444442,2,0
PADERBORN,colored_-6,probability_margin,0.39099344715264817,0.04200886052384734,0.3831849276116424,-0.007808519541005661,-0.06944444444444442,2,0
PADERBORN,colored_-6,learned_evidence,0.39099344715264817,0.04200886052384734,0.3909917218248358,-1.7253278122667897e-06,0.0,0,2
PADERBORN,impulse_-6,confidence,0.15038127084674555,0.02616220074824853,0.16887795704709474,0.018496686200349204,0.024999999999999984,3,0
PADERBORN,impulse_-6,negative_entropy,0.15038127084674555,0.02616220074824853,0.1672000175860746,0.016818746739329104,0.024999999999999984,3,0
PADERBORN,impulse_-6,probability_margin,0.15038127084674555,0.02616220074824853,0.17059338356545925,0.020212112718713694,0.02777777777777779,3,0
PADERBORN,impulse_-6,learned_evidence,0.15038127084674555,0.02616220074824853,0.15038127084674555,0.0,0.0,0,3
PADERBORN,mechanical_-6,confidence,0.4834819406780791,0.01871391443118522,0.47810936098680384,-0.005372579691275321,-0.030555555555555558,0,0
PADERBORN,mechanical_-6,negative_entropy,0.4834819406780791,0.01871391443118522,0.4758677968425145,-0.007614143835564635,-0.02777777777777779,1,0
PADERBORN,mechanical_-6,probability_margin,0.4834819406780791,0.01871391443118522,0.47733706938118337,-0.0061448712968958,-0.02777777777777783,1,0
PADERBORN,mechanical_-6,learned_evidence,0.4834819406780791,0.01871391443118522,0.48347590203073604,-6.038647343035534e-06,0.0,0,2
