condition,score,accuracy,macro_f1,coverage,selective_risk,accepted_accuracy,aurc,accuracy_at_10pct,accuracy_at_20pct,accuracy_at_30pct,accuracy_at_50pct,dataset
colored_-6,ensemble_probability_margin,0.365625,0.2790897272371263,0.87875,0.6401137980085349,0.3598862019914651,0.4118024682223671,0.96875,0.878125,0.73125,0.49,JNU
colored_-6,negative_mutual_information,0.365625,0.2790897272371263,0.92,0.625,0.375,0.4103442378194656,0.91875,0.84375,0.71875,0.51375,JNU
impulse_-6,ensemble_confidence,0.344375,0.2376192615410944,0.74125,0.6559865092748736,0.3440134907251265,0.6420230983213605,0.41875,0.375,0.3583333333333333,0.3375,JNU
impulse_-6,ensemble_negative_entropy,0.344375,0.2376192615410944,0.985625,0.653138871274572,0.346861128725428,0.6401920424606331,0.41875,0.375,0.3604166666666666,0.33625,JNU
impulse_-6,ensemble_probability_margin,0.344375,0.2376192615410944,0.675,0.6675925925925925,0.3324074074074074,0.6433608772524029,0.41875,0.378125,0.3583333333333333,0.335,JNU
impulse_-6,negative_mutual_information,0.344375,0.2376192615410944,0.53125,0.6788235294117647,0.3211764705882353,0.6611467138000148,0.39375,0.38125,0.35,0.32375,JNU
mechanical_-6,ensemble_confidence,0.421875,0.3652653430449858,0.86375,0.5694645441389291,0.4305354558610709,0.5656228728861314,0.4125,0.39375,0.4708333333333333,0.42625,JNU
mechanical_-6,ensemble_negative_entropy,0.421875,0.3652653430449858,0.94875,0.564558629776021,0.4354413702239789,0.5638502082410153,0.4125,0.3875,0.46875,0.43,JNU
mechanical_-6,ensemble_probability_margin,0.421875,0.3652653430449858,0.836875,0.5713218820014936,0.4286781179985063,0.5659855841708675,0.4125,0.396875,0.4729166666666666,0.42625,JNU
mechanical_-6,negative_mutual_information,0.421875,0.3652653430449858,0.7675,0.5806188925081432,0.4193811074918567,0.5774390776278834,0.40625,0.396875,0.425,0.41125,JNU
clean,ensemble_confidence,0.9733333333333334,0.9731187338064662,0.9316666666666666,0.0053667262969588,0.9946332737030412,0.0010892667826438,1.0,1.0,1.0,1.0,PADERBORN
clean,ensemble_negative_entropy,0.9733333333333334,0.9731187338064662,0.9341666666666668,0.0044603033006244,0.9955396966993756,0.0010890478267366,1.0,1.0,1.0,1.0,PADERBORN
clean,ensemble_probability_margin,0.9733333333333334,0.9731187338064662,0.9333333333333332,0.0053571428571428,0.9946428571428572,0.0010889618322279,1.0,1.0,1.0,1.0,PADERBORN
clean,negative_mutual_information,0.9733333333333334,0.9731187338064662,0.9075,0.0036730945821854,0.9963269054178144,0.0016091624383631,1.0,1.0,1.0,1.0,PADERBORN
snr_6,ensemble_confidence,0.9433333333333334,0.9424314875894204,0.9141666666666668,0.0200546946216955,0.9799453053783044,0.0040459608692474,1.0,1.0,1.0,1.0,PADERBORN
snr_6,ensemble_negative_entropy,0.9433333333333334,0.9424314875894204,0.915,0.0191256830601093,0.9808743169398908,0.0039894326885192,1.0,1.0,1.0,1.0,PADERBORN
snr_6,ensemble_probability_margin,0.9433333333333334,0.9424314875894204,0.9166666666666666,0.0218181818181818,0.9781818181818182,0.0041176326204302,1.0,1.0,1.0,1.0,PADERBORN
snr_6,negative_mutual_information,0.9433333333333334,0.9424314875894204,0.8741666666666666,0.0133460438512869,0.9866539561487132,0.005948131959044,1.0,1.0,1.0,1.0,PADERBORN
snr_0,ensemble_confidence,0.9016666666666666,0.8991549089416907,0.8925,0.0429505135387487,0.9570494864612512,0.011936204353961,1.0,1.0,1.0,1.0,PADERBORN
snr_0,ensemble_negative_entropy,0.9016666666666666,0.8991549089416907,0.8966666666666666,0.0436802973977694,0.9563197026022304,0.0120174648287859,1.0,1.0,1.0,1.0,PADERBORN
snr_0,ensemble_probability_margin,0.9016666666666666,0.8991549089416907,0.8908333333333334,0.0430308699719363,0.9569691300280636,0.012012657857007,1.0,1.0,1.0,1.0,PADERBORN
snr_0,negative_mutual_information,0.9016666666666666,0.8991549089416907,0.8108333333333333,0.0359712230215827,0.9640287769784172,0.0185450324382531,1.0,1.0,1.0,0.9883333333333332,PADERBORN
snr_-6,ensemble_confidence,0.6325,0.6243043669306684,0.5416666666666666,0.2461538461538461,0.7538461538461538,0.2278090218922636,0.9083333333333332,0.8541666666666666,0.8194444444444444,0.755,PADERBORN
snr_-6,ensemble_negative_entropy,0.6325,0.6243043669306684,0.5408333333333334,0.2403697996918335,0.7596302003081664,0.2201742218412622,0.9166666666666666,0.8666666666666667,0.825,0.7716666666666666,PADERBORN
snr_-6,ensemble_probability_margin,0.6325,0.6243043669306684,0.5483333333333333,0.2537993920972644,0.7462006079027356,0.2345929949991751,0.8833333333333333,0.8458333333333333,0.7944444444444444,0.745,PADERBORN
snr_-6,negative_mutual_information,0.6325,0.6243043669306684,0.3633333333333333,0.2064220183486238,0.7935779816513762,0.2359373088779136,0.8916666666666667,0.8125,0.8111111111111111,0.7783333333333333,PADERBORN
mixed_snr,ensemble_confidence,0.8708333333333333,0.8730766982532713,0.8325,0.058058058058058,0.941941941941942,0.0217346819266288,1.0,1.0,1.0,1.0,PADERBORN
